ticker,fiscal_year,fiscal_quarter,quarter_end,calendar_year,calendar_quarter,quarter_index,capex_usd,ytd_capex_usd,source_concept,accession,calendar_label,capex_ttm_usd,capex_yoy_growth
AMZN,2007,4,2007-12-31,2007,4,8032,,224000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-10-016098,2007-Q4,,
AMZN,2008,2,2008-06-30,2008,2,8034,,130000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-09-154174,2008-Q2,,
AMZN,2008,3,2008-09-30,2008,3,8035,101000000,231000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-09-212134,2008-Q3,,
AMZN,2008,4,2008-12-31,2008,4,8036,102000000,333000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-11-016253,2008-Q4,,
AMZN,2009,1,2009-03-31,2009,1,8037,55000000,55000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-10-090367,2009-Q1,,
AMZN,2009,2,2009-06-30,2009,2,8038,78000000,133000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-10-164083,2009-Q2,336000000,
AMZN,2009,3,2009-09-30,2009,3,8039,103000000,236000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-10-233883,2009-Q3,338000000,0.01980198019801982
AMZN,2009,4,2009-12-31,2009,4,8040,137000000,373000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-12-032846,2009-Q4,373000000,0.3431372549019607
AMZN,2010,1,2010-03-31,2010,1,8041,140000000,140000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-11-110197,2010-Q1,458000000,1.5454545454545454
AMZN,2010,2,2010-06-30,2010,2,8042,196000000,336000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-11-197823,2010-Q2,576000000,1.5128205128205128
AMZN,2010,3,2010-09-30,2010,3,8043,315000000,651000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-11-280739,2010-Q3,788000000,2.058252427184466
AMZN,2010,4,2010-12-31,2010,4,8044,328000000,979000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-13-028520,2010-Q4,979000000,1.394160583941606
AMZN,2011,1,2011-03-31,2011,1,8045,298000000,298000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-12-187203,2011-Q1,1137000000,1.1285714285714286
AMZN,2011,2,2011-06-30,2011,2,8046,433000000,731000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-12-317409,2011-Q2,1374000000,1.2091836734693877
AMZN,2011,3,2011-09-30,2011,3,8047,530000000,1261000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-12-436012,2011-Q3,1589000000,0.6825396825396826
AMZN,2011,4,2011-12-31,2011,4,8048,550000000,1811000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-14-000006,2011-Q4,1811000000,0.6768292682926829
AMZN,2012,1,2012-03-31,2012,1,8049,386000000,386000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-13-174667,2012-Q1,1899000000,0.2953020134228188
AMZN,2012,2,2012-06-30,2012,2,8050,657000000,1043000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-13-303204,2012-Q2,2123000000,0.5173210161662818
AMZN,2012,3,2012-09-30,2012,3,8051,716000000,1759000000,PaymentsToAcquirePropertyPlantAndEquipment,0001445305-13-002495,2012-Q3,2309000000,0.350943396226415
AMZN,2012,4,2012-12-31,2012,4,8052,2026000000,3785000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-15-000006,2012-Q4,3785000000,2.6836363636363636
AMZN,2013,1,2013-03-31,2013,1,8053,670000000,670000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-14-000014,2013-Q1,4069000000,0.7357512953367875
AMZN,2013,2,2013-06-30,2013,2,8054,856000000,1526000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-14-000025,2013-Q2,4268000000,0.30289193302891926
AMZN,2013,3,2013-09-30,2013,3,8055,1039000000,2565000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-14-000055,2013-Q3,4591000000,0.4511173184357542
AMZN,2013,4,2013-12-31,2013,4,8056,879000000,3444000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000172,2013-Q4,3444000000,-0.5661401776900297
AMZN,2014,1,2014-03-31,2014,1,8057,1080000000,1080000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-15-000038,2014-Q1,3854000000,0.6119402985074627
AMZN,2014,2,2014-06-30,2014,2,8058,1290000000,2370000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-15-000087,2014-Q2,4288000000,0.5070093457943925
AMZN,2014,3,2014-09-30,2014,3,8059,1378000000,3748000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-15-000126,2014-Q3,4627000000,0.3262752646775746
